task,model,feature,contrast,n_subjects,difference_pp,ci95_low,ci95_high,t,df,p_uncorrected,p_holm,family,family_size
state,GCN_LSTM,raw,full-minus-without_alpha,20,-0.05000000000000071,-1.4818442816177895,1.381844281617788,-0.07308839659727039,19,0.9424997278648045,0.9424997278648045,state_alpha,14
state,conformer,raw,full-minus-without_alpha,20,1.1833333333333322,0.13318624705884985,2.2334804196078144,2.3584745064963357,19,0.029215605189189746,0.17529363113513846,state_alpha,14
state,deepnet,raw,full-minus-without_alpha,20,5.533333333333333,0.43294436319843754,10.633722303468229,2.270689517121165,19,0.03498771064733148,0.17529363113513846,state_alpha,14
state,eegnet,raw,full-minus-without_alpha,20,2.3499999999999988,1.160313647341333,3.5396863526586646,4.1343724897469825,19,0.0005637260244679723,0.006893958790729041,state_alpha,14
state,glfnet,raw,full-minus-without_alpha,20,1.2999999999999994,0.6461105465453156,1.9538894534546831,4.161148732947575,19,0.0005303045223637724,0.006893958790729041,state_alpha,14
state,glfnet_mlp,de,full-minus-without_alpha,20,0.24999999999999928,-0.17005578511407465,0.6700557851140732,1.2456821978060946,19,0.22802408491303625,0.4958304779837305,state_alpha,14
state,glfnet_mlp,psd,full-minus-without_alpha,20,2.25,1.0123969775761195,3.4876030224238805,3.8051814976948632,19,0.001195549149507841,0.01315104064458625,state_alpha,14
state,mlpnet,de,full-minus-without_alpha,20,0.3666666666666664,0.0020304151431077555,0.7313029181902251,2.1046787039863095,19,0.04885935422213045,0.1954374168885218,state_alpha,14
state,mlpnet,psd,full-minus-without_alpha,20,3.666666666666667,2.2306016438007816,5.102731689532552,5.3440627065164685,19,3.708122149046501e-05,0.0005191371008665102,state_alpha,14
state,shallownet,raw,full-minus-without_alpha,20,1.1833333333333336,0.38068820740600007,1.985978459260667,3.0857287374520324,19,0.006085569507239107,0.060855695072391074,state_alpha,14
state,svm,de,full-minus-without_alpha,20,0.5999999999999993,-0.270218635246649,1.4702186352466478,1.4431022064805787,19,0.16527682599457683,0.4958304779837305,state_alpha,14
state,svm,psd,full-minus-without_alpha,20,1.9166666666666665,0.526951378751267,3.306381954582066,2.8866556139231654,19,0.00945165877036168,0.07561327016289345,state_alpha,14
state,svm,raw,full-minus-without_alpha,20,1.3666666666666665,0.429407046177697,2.303926287155636,3.05194648863565,19,0.006560516568787845,0.060855695072391074,state_alpha,14
state,tsconv,raw,full-minus-without_alpha,20,0.45,0.09832839331871707,0.801671606681283,2.678239603623499,19,0.014870451929936612,0.10409316350955629,state_alpha,14
